Company,Market Capitalization
Lennar,11.89
Leucadia National,9.59
Level 3 Communications,20
Lilly (Eli) & Co,86.95
Lincoln National,15.6
Linear Technology,15.73
LKQ,9.51
Lockheed Martin,77.75
Loews,15.97
Lowe's Cos,70.01
LyondellBasell,36.72
M&T Bank,25.71
Macerich,9.39
Macy's,9.37
Mallinckrodt Plc,5.2
Marathon Oil,13.79
Marathon Petroleum,26.47
Marriott Int'l,33.04
Marsh & McLennan,37.91
Martin Marietta Materials,13.24
Masco,10.57
Mastercard,119.61
Mattel,8.57
McCormick & Co,12.39
McDonald's,104.89
McKesson,31.22
Mead Johnson,16.2
Medtronic,111.7
Merck & Co,181.1
MetLife,58.01
Mettler Toledo,12.48
Michael Kors Holdings,5.84
Microchip Technology,15.98
Micron Technology,28.27
Microsoft,497.65
Mid-America Apartments,11.44
Mohawk Industries,16.86
Molson Coors Brewing Company,20.85
Mondelez International,66
Monsanto Co,50.46
Monster Beverage,26.46
Moody's,21.5
Morgan Stanley,86.46
Motorola Solutions,13.12
Murphy Oil,4.78
Mylan N.V,23.2
NASDAQ OMX Group,11.83
National Oilwell Varco,14.88
Navient,4.23
NetApp,11.56
Netflix,60.87
Newell Brands,23.41
Newfield Exploration,7.08
Newmont Mining. (Hldg. Co.),17.52
News,7.56
NextEra Energy,61.09
Nielsen Holdings,15.91
Nike,93.56
NiSource,7.6
Noble Energy,15.5
Nordstrom,7.49
Norfolk Southern,35.45
Northern Trust,20.22
Northrop Grumman,42.56
NRG Energy,5.4
Nucor,19.43
Nvidia,58.16
O'Reilly Automotive,24.73
Occidental Petroleum,49.45
Omnicom Group,19.72
ONEOK,11.92
Oracle,174.76
PACCAR,23.71
Parker-Hannifin,20.99
Patterson Companies,4.18
Paychex,22.31
PayPal,51.79
Pentair Ltd,10.71
People's United Financial,5.9
PepsiCo,156.02
PerkinElmer,5.94
Perrigo,10.08
Pfizer,202.3
PG&E,33.65
Philip Morris International,171.51
Phillips 66,40.12
Pinnacle West Capital,9.19
Pioneer Natural Resources,32.93
PNC Financial Services,61.94
Polo Ralph Lauren,6.51
PPG Industries,25.91
PPL,25.04
Praxair,33.86
Priceline.com,85.38
Principal Financial Group,18.12
Procter & Gamble,230.82
Progressive,22.84
Prologis,26.76
Prudential Financial,47.83
Public Serv. Enterprise,22.77
Public Storage,39.59
Pulte Homes,7.24
PVH,7.11
Qorvo,8.46
QUALCOMM,83.79
Quanta Services,5.68
Quest Diagnostics,13.5
Range Resources,6.81
Raytheon Co,45.24
Realty Income,15.57
Red Hat,14.61
Regency Centers,6.84
Regeneron,39.29
Regions Financial,18.38
Republic Services,21.05
Reynolds American,87.24
Robert Half International,6.07
Rockwell Automation,19.75
Rockwell Collins,12.75
Roper Industries,21.57
Ross Stores,25.96
Royal Caribbean Cruises Ltd,20.31
Ryder System,4.07
S&P Global,33.77
Salesforce.com,58.16
SCANA,9.98
Schlumberger Ltd,111.25
Scripps Networks Interactive,10.14
Seagate Technology,14.25
Sealed Air,8.59
Sempra Energy,27.71
Sherwin-Williams,28.74
Signet Jewelers,4.4
Simon Property Group,55.5
Skyworks Solutions,17.58
SL Green Realty,11.28
Snap-On,9.77
Southern Co,49.95
Southwest Airlines,34.96
Southwestern Energy,3.74
Stanley Black & Decker,19.52
Staples,5.71
Starbucks,81.91
State Street,30.4
Stericycle,6.91
Stryker,48.15
SunTrust Banks,29.33
Symantec,18.13
Synchrony Financial,28.86
Sysco,28.25
T. Rowe Price Group,17.26
Target,30.67
TE Connectivity Ltd,26.42
Tegna,5.54
Teradata,4.06
Tesoro Petroleum Co,9.75
Texas Instruments,79.09
Textron,12.92
The Bank of New York Mellon,49.46
The Clorox Company,17.56
The Cooper Companies,9.56
The Hershey Company,22.97
The Mosaic Company,10.22
The Travelers Companies,34.16
The Walt Disney Company,175.3
Thermo Fisher Scientific,61.39
Tiffany & Co,11.05
Time Warner,76.07
TJX Companies,51.47
Torchmark,9.19
Total System Services,9.95
Tractor Supply Company,9.34
TransDigm Group,12.82
Transocean,4.67
TripAdvisor,5.96
Twenty-First Century Fox,56.49
Tyson Foods,22.72
U.S. Bancorp,93.22
UDR,9.69
Ulta Salon Cosmetics & Fragrance,16.8
Under Armour,8.63
Union Pacific,88.18
United Continental Holdings,22.85
United Health Group,160.08
United Parcel Service,91.91
United Rentals,10.8
United Technologies,90.48
Universal Health Services,11.95
Unum Group,11.17
Urban Outfitters,2.95
V.F.,21.79
Valero Energy,29.6
Varian Medical Systems,8.04
Ventas,22.22
Verisign,8.56
Verisk Analytics,13.61
Verizon Communications,201.55
Vertex Pharmaceuticals,22.69
Viacom,17.04
Visa,206.98
Vornado Realty Trust,20.39
Vulcan Materials,15.67
Wal-Mart Stores,214.15
Walgreens Boots Alliance,92.82
Waste Management,31.97
Waters,12.28
Wec Energy Group,18.71
Wells Fargo,291.7
Welltower,24.83
Western Digital,22.12
Western Union,9.57
WestRock Company,12.79
Weyerhaeuser,25.07
Whirlpool,13.06
Whole Foods Market,9.39
Williams Cos,24.3
Willis Towers Watson,17.45
Wyndham Worldwide,8.63
Wynn Resorts Ltd,10.11
Xcel Energy,22.23
Xerox,7.48
Xilinx,14.62
XL Capital,10.63
Xylem,8.75
Yahoo,43.74
Yum! Brands,22.65
Zimmer Biomet Holdings,23.54
Zions Bancorp,9.17
Zoetis,26.11
